Country,Year,countrycode,swap.size,net.draw,outstanding
Chile,2010,CHL,0,0,0
Chile,2011,CHL,0,0,0
Chile,2012,CHL,0,0,0
Chile,2013,CHL,0,0,0
Chile,2014,CHL,0,0,0
Chile,2015,CHL,22000000000,0,0
Chile,2016,CHL,22000000000,0,0
Chile,2017,CHL,22000000000,0,0
Chile,2018,CHL,22000000000,0,0
Chile,2019,CHL,22000000000,0,0
Chile,2020,CHL,50000000000,0,0
Chile,2021,CHL,50000000000,0,0
Egypt,2008,EGY,0,0,0
Egypt,2009,EGY,0,0,0
Egypt,2010,EGY,0,0,0
Egypt,2011,EGY,0,0,0
Egypt,2012,EGY,0,0,0
Egypt,2013,EGY,0,0,0
Egypt,2014,EGY,0,0,0
Egypt,2015,EGY,0,0,0
Egypt,2016,EGY,18000000000,0,0
Egypt,2017,EGY,18000000000,18000000000,18000000000
Egypt,2018,EGY,18000000000,0,18000000000
Egypt,2019,EGY,18000000000,0,18000000000
Egypt,2020,EGY,18000000000,0,18000000000
Egypt,2021,EGY,18000000000,0,18000000000
European Central Bank,2008,EMU,0,0,0
European Central Bank,2009,EMU,0,0,0
European Central Bank,2010,EMU,0,0,0
European Central Bank,2011,EMU,0,0,0
European Central Bank,2012,EMU,0,0,0
European Central Bank,2013,EMU,3.5E+11,0,0
European Central Bank,2014,EMU,3.5E+11,0,0
European Central Bank,2015,EMU,3.5E+11,0,0
European Central Bank,2016,EMU,3.5E+11,0,0
European Central Bank,2017,EMU,3.5E+11,0,0
European Central Bank,2018,EMU,3.5E+11,0,0
European Central Bank,2019,EMU,3.5E+11,0,0
European Central Bank,2020,EMU,3.5E+11,0,0
European Central Bank,2021,EMU,3.5E+11,0,0
Georgia,2008,GEO,0,0,0
Georgia,2009,GEO,0,0,0
Georgia,2010,GEO,0,0,0
Georgia,2011,GEO,0,0,0
Georgia,2012,GEO,0,0,0
Georgia,2013,GEO,0,0,0
Georgia,2014,GEO,0,0,0
Georgia,2015,GEO,0,0,0
Georgia,2016,GEO,0,0,0
Georgia,2017,GEO,0,0,0
Georgia,2018,GEO,0,0,0
Georgia,2019,GEO,0,0,0
Georgia,2020,GEO,0,0,0
Georgia,2021,GEO,0,0,0
Hungary,2008,HUN,0,0,0
Hungary,2009,HUN,0,0,0
Hungary,2010,HUN,0,0,0
Hungary,2011,HUN,0,0,0
Hungary,2012,HUN,0,0,0
Hungary,2013,HUN,10000000000,0,0
Hungary,2014,HUN,10000000000,0,0
Hungary,2015,HUN,10000000000,0,0
Hungary,2016,HUN,10000000000,0,0
Hungary,2017,HUN,10000000000,0,0
Hungary,2018,HUN,10000000000,0,0
Hungary,2019,HUN,10000000000,0,0
Hungary,2020,HUN,20000000000,0,0
Hungary,2021,HUN,20000000000,0,0
Iceland,2008,ISL,0,0,0
Iceland,2009,ISL,0,0,0
Iceland,2010,ISL,3500000000,0,0
Iceland,2011,ISL,3500000000,0,0
Iceland,2012,ISL,3500000000,0,0
Iceland,2013,ISL,3500000000,0,0
Iceland,2014,ISL,3500000000,0,0
Iceland,2015,ISL,3500000000,0,0
Iceland,2016,ISL,3500000000,0,0
Iceland,2017,ISL,3500000000,0,0
Iceland,2018,ISL,3500000000,0,0
Iceland,2019,ISL,3500000000,0,0
Iceland,2020,ISL,3500000000,0,0
Iceland,2021,ISL,3500000000,0,0
Indonesia,2008,IDN,0,0,0
Indonesia,2009,IDN,1E+11,0,0
Indonesia,2010,IDN,1E+11,0,0
Indonesia,2011,IDN,1E+11,0,0
Indonesia,2012,IDN,1E+11,0,0
Indonesia,2013,IDN,1E+11,0,0
Indonesia,2014,IDN,1E+11,0,0
Indonesia,2015,IDN,1E+11,0,0
Indonesia,2016,IDN,1E+11,0,0
Indonesia,2017,IDN,0,0,0
Indonesia,2018,IDN,2E+11,0,0
Indonesia,2019,IDN,2E+11,0,0
Indonesia,2020,IDN,2E+11,0,0
Indonesia,2021,IDN,2E+11,0,0
Japan,2008,JPN,0,0,0
Japan,2009,JPN,0,0,0
Japan,2010,JPN,0,0,0
Japan,2011,JPN,0,0,0
Japan,2012,JPN,0,0,0
Japan,2013,JPN,0,0,0
Japan,2014,JPN,0,0,0
Japan,2015,JPN,0,0,0
Japan,2016,JPN,0,0,0
Japan,2017,JPN,0,0,0
Japan,2018,JPN,2E+11,0,0
Japan,2019,JPN,2E+11,0,0
Japan,2020,JPN,2E+11,0,0
Japan,2021,JPN,2E+11,0,0
Kazakhstan,2008,KAZ,0,0,0
Kazakhstan,2009,KAZ,0,0,0
Kazakhstan,2010,KAZ,0,0,0
Kazakhstan,2011,KAZ,7000000000,0,0
Kazakhstan,2012,KAZ,7000000000,0,0
Kazakhstan,2013,KAZ,7000000000,0,0
Kazakhstan,2014,KAZ,7000000000,0,0
Kazakhstan,2015,KAZ,7000000000,0,0
Kazakhstan,2016,KAZ,7000000000,0,0
Kazakhstan,2017,KAZ,7000000000,0,0
Kazakhstan,2018,KAZ,7000000000,0,0
Kazakhstan,2019,KAZ,7000000000,0,0
Kazakhstan,2020,KAZ,7000000000,0,0
Kazakhstan,2021,KAZ,7000000000,0,0
Laos,2008,LAO,0,0,0
Laos,2009,LAO,0,0,0
Laos,2010,LAO,0,0,0
Laos,2011,LAO,0,0,0
Laos,2012,LAO,0,0,0
Laos,2013,LAO,0,0,0
Laos,2014,LAO,0,0,0
Laos,2015,LAO,0,0,0
Laos,2016,LAO,0,0,0
Laos,2017,LAO,0,0,0
Laos,2018,LAO,0,0,0
Laos,2019,LAO,0,0,0
Laos,2020,LAO,6000000000,1960463976,1960463976
Laos,2021,LAO,6000000000,0,1911120171
Malaysia,2008,MYS,0,0,0
Malaysia,2009,MYS,80000000000,0,0
Malaysia,2010,MYS,80000000000,0,0
Malaysia,2011,MYS,80000000000,0,0
Malaysia,2012,MYS,1.8E+11,0,0
Malaysia,2013,MYS,1.8E+11,0,0
Malaysia,2014,MYS,1.8E+11,0,0
Malaysia,2015,MYS,1.8E+11,0,0
Malaysia,2016,MYS,1.8E+11,0,0
Malaysia,2017,MYS,1.8E+11,0,0
Malaysia,2018,MYS,1.8E+11,0,0
Malaysia,2019,MYS,1.8E+11,0,0
Malaysia,2020,MYS,1.8E+11,7169923935,7169923935
Malaysia,2021,MYS,1.8E+11,0,6558437637
Mongolia,2008,MNG,0,0,0
Mongolia,2009,MNG,0,0,0
Mongolia,2010,MNG,0,0,0
Mongolia,2011,MNG,5000000000,0,0
Mongolia,2012,MNG,10000000000,2100000000,2100000000
Mongolia,2013,MNG,10000000000,3900000000,6000000000
Mongolia,2014,MNG,15000000000,3000000000,9000000000
Mongolia,2015,MNG,15000000000,2500000000,11500000000
Mongolia,2016,MNG,15000000000,500000000,12000000000
Mongolia,2017,MNG,15000000000,0,12000000000
Mongolia,2018,MNG,15000000000,0,12000000000
Mongolia,2019,MNG,15000000000,0,12000000000
Mongolia,2020,MNG,15000000000,0,12000000000
Mongolia,2021,MNG,15000000000,0,12000000000
Morocco,2008,MAR,0,0,0
Morocco,2009,MAR,0,0,0
Morocco,2010,MAR,0,0,0
Morocco,2011,MAR,0,0,0
Morocco,2012,MAR,0,0,0
Morocco,2013,MAR,0,0,0
Morocco,2014,MAR,0,0,0
Morocco,2015,MAR,0,0,0
Morocco,2016,MAR,10000000000,0,0
Morocco,2017,MAR,10000000000,0,0
Morocco,2018,MAR,10000000000,0,0
Morocco,2019,MAR,10000000000,0,0
Morocco,2020,MAR,0,0,0
Morocco,2021,MAR,0,0,0
New Zealand,2008,NZL,0,0,0
New Zealand,2009,NZL,0,0,0
New Zealand,2010,NZL,0,0,0
New Zealand,2011,NZL,25000000000,0,0
New Zealand,2012,NZL,25000000000,0,0
New Zealand,2013,NZL,25000000000,0,0
New Zealand,2014,NZL,25000000000,0,0
New Zealand,2015,NZL,25000000000,0,0
New Zealand,2016,NZL,25000000000,0,0
New Zealand,2017,NZL,25000000000,0,0
New Zealand,2018,NZL,25000000000,0,0
New Zealand,2019,NZL,25000000000,0,0
New Zealand,2020,NZL,25000000000,0,0
New Zealand,2021,NZL,25000000000,0,0
Nigeria,2008,NGA,0,0,0
Nigeria,2009,NGA,0,0,0
Nigeria,2010,NGA,0,0,0
Nigeria,2011,NGA,0,0,0
Nigeria,2012,NGA,0,0,0
Nigeria,2013,NGA,0,0,0
Nigeria,2014,NGA,0,0,0
Nigeria,2015,NGA,0,0,0
Nigeria,2016,NGA,0,0,0
Nigeria,2017,NGA,0,0,0
Nigeria,2018,NGA,15000000000,669660000,669660000
Nigeria,2019,NGA,15000000000,782660000,1452320000
Nigeria,2020,NGA,15000000000,0,1017140000
Nigeria,2021,NGA,15000000000,2293460000,3310600000
Pakistan,2008,PAK,0,0,0
Pakistan,2009,PAK,0,0,0
Pakistan,2010,PAK,0,0,0
Pakistan,2011,PAK,10000000000,0,0
Pakistan,2012,PAK,10000000000,0,0
Pakistan,2013,PAK,10000000000,5000000000,5000000000
Pakistan,2014,PAK,10000000000,1500000000,6500000000
Pakistan,2015,PAK,10000000000,3500000000,10000000000
Pakistan,2016,PAK,10000000000,0,10000000000
Pakistan,2017,PAK,10000000000,0,10000000000
Pakistan,2018,PAK,20000000000,10000000000,20000000000
Pakistan,2019,PAK,20000000000,0,20000000000
Pakistan,2020,PAK,30000000000,0,20000000000
Pakistan,2021,PAK,30000000000,10000000000,30000000000
Qatar,2008,QAT,0,0,0
Qatar,2009,QAT,0,0,0
Qatar,2010,QAT,0,0,0
Qatar,2011,QAT,0,0,0
Qatar,2012,QAT,0,0,0
Qatar,2013,QAT,0,0,0
Qatar,2014,QAT,35000000000,0,0
Qatar,2015,QAT,35000000000,0,0
Qatar,2016,QAT,35000000000,0,0
Qatar,2017,QAT,35000000000,0,0
Qatar,2018,QAT,35000000000,0,0
Qatar,2019,QAT,35000000000,0,0
Qatar,2020,QAT,35000000000,0,0
Qatar,2021,QAT,35000000000,0,0
Russia,2008,RUS,0,0,0
Russia,2009,RUS,0,0,0
Russia,2010,RUS,0,0,0
Russia,2011,RUS,0,0,0
Russia,2012,RUS,0,0,0
Russia,2013,RUS,0,0,0
Russia,2014,RUS,1.5E+11,0,0
Russia,2015,RUS,1.5E+11,10000000,10000000
Russia,2016,RUS,1.5E+11,893000000,903000000
Russia,2017,RUS,1.5E+11,241000000,1144000000
Russia,2018,RUS,1.5E+11,0,891000000
Russia,2019,RUS,1.5E+11,0,0
Russia,2020,RUS,1.5E+11,0,0
Russia,2021,RUS,1.5E+11,0,0
Serbia,2008,SRB,0,0,0
Serbia,2009,SRB,0,0,0
Serbia,2010,SRB,0,0,0
Serbia,2011,SRB,0,0,0
Serbia,2012,SRB,0,0,0
Serbia,2013,SRB,0,0,0
Serbia,2014,SRB,0,0,0
Serbia,2015,SRB,0,0,0
Serbia,2016,SRB,1500000000,0,0
Serbia,2017,SRB,1500000000,0,0
Serbia,2018,SRB,1500000000,0,0
Serbia,2019,SRB,1500000000,0,0
Serbia,2020,SRB,0,0,0
Serbia,2021,SRB,0,0,0
Singapore,2008,SGP,0,0,0
Singapore,2009,SGP,0,0,0
Singapore,2010,SGP,1.5E+11,0,0
Singapore,2011,SGP,1.5E+11,0,0
Singapore,2012,SGP,1.5E+11,25000000,25000000
Singapore,2013,SGP,3E+11,0,0
Singapore,2014,SGP,3E+11,10000000000,10000000000
Singapore,2015,SGP,3E+11,0,10000000000
Singapore,2016,SGP,3E+11,0,10000000000
Singapore,2017,SGP,3E+11,0,10000000000
Singapore,2018,SGP,3E+11,0,10000000000
Singapore,2019,SGP,3E+11,0,0
Singapore,2020,SGP,3E+11,10000000000,10000000000
Singapore,2021,SGP,3E+11,15000000000,25000000000
South Africa,2008,ZAF,0,0,0
South Africa,2009,ZAF,0,0,0
South Africa,2010,ZAF,0,0,0
South Africa,2011,ZAF,0,0,0
South Africa,2012,ZAF,0,0,0
South Africa,2013,ZAF,0,0,0
South Africa,2014,ZAF,0,0,0
South Africa,2015,ZAF,30000000000,0,0
South Africa,2016,ZAF,30000000000,0,0
South Africa,2017,ZAF,30000000000,0,0
South Africa,2018,ZAF,30000000000,0,0
South Africa,2019,ZAF,30000000000,0,0
South Africa,2020,ZAF,30000000000,0,0
South Africa,2021,ZAF,30000000000,0,0
South Korea,2008,KOR,0,0,0
South Korea,2009,KOR,1.8E+11,0,0
South Korea,2010,KOR,1.8E+11,0,0
South Korea,2011,KOR,3.6E+11,0,0
South Korea,2012,KOR,3.6E+11,0,0
South Korea,2013,KOR,3.6E+11,62000000,62000000
South Korea,2014,KOR,3.6E+11,0,0
South Korea,2015,KOR,3.6E+11,0,0
South Korea,2016,KOR,3.6E+11,0,0
South Korea,2017,KOR,3.6E+11,0,0
South Korea,2018,KOR,3.6E+11,0,0
South Korea,2019,KOR,3.6E+11,0,0
South Korea,2020,KOR,4E+11,0,0
South Korea,2021,KOR,4E+11,0,0
Sri Lanka,2008,LKA,0,0,0
Sri Lanka,2009,LKA,0,0,0
Sri Lanka,2010,LKA,0,0,0
Sri Lanka,2011,LKA,0,0,0
Sri Lanka,2012,LKA,0,0,0
Sri Lanka,2013,LKA,0,0,0
Sri Lanka,2014,LKA,10000000000,0,0
Sri Lanka,2015,LKA,10000000000,0,0
Sri Lanka,2016,LKA,10000000000,0,0
Sri Lanka,2017,LKA,10000000000,0,0
Sri Lanka,2018,LKA,0,0,0
Sri Lanka,2019,LKA,0,0,0
Sri Lanka,2020,LKA,0,0,0
Sri Lanka,2021,LKA,10000000000,10000000000,10000000000
Suriname,2008,SUR,0,0,0
Suriname,2009,SUR,0,0,0
Suriname,2010,SUR,0,0,0
Suriname,2011,SUR,0,0,0
Suriname,2012,SUR,0,0,0
Suriname,2013,SUR,0,0,0
Suriname,2014,SUR,0,0,0
Suriname,2015,SUR,1000000000,1000000000,1000000000
Suriname,2016,SUR,1000000000,0,1000000000
Suriname,2017,SUR,1000000000,0,1000000000
Suriname,2018,SUR,1000000000,0,952718000
Suriname,2019,SUR,1000000000,0,983449719
Suriname,2020,SUR,1000000000,0,1000000000
Suriname,2021,SUR,1000000000,0,1000000000
Switzerland,2008,CHE,0,0,0
Switzerland,2009,CHE,0,0,0
Switzerland,2010,CHE,0,0,0
Switzerland,2011,CHE,0,0,0
Switzerland,2012,CHE,0,0,0
Switzerland,2013,CHE,0,0,0
Switzerland,2014,CHE,1.5E+11,0,0
Switzerland,2015,CHE,1.5E+11,0,0
Switzerland,2016,CHE,1.5E+11,0,0
Switzerland,2017,CHE,1.5E+11,0,0
Switzerland,2018,CHE,1.5E+11,0,0
Switzerland,2019,CHE,1.5E+11,0,0
Switzerland,2020,CHE,1.5E+11,0,0
Switzerland,2021,CHE,0,0,0
Tajikistan,2008,TJK,0,0,0
Tajikistan,2009,TJK,0,0,0
Tajikistan,2010,TJK,0,0,0
Tajikistan,2011,TJK,0,0,0
Tajikistan,2012,TJK,0,0,0
Tajikistan,2013,TJK,0,0,0
Tajikistan,2014,TJK,0,0,0
Tajikistan,2015,TJK,3000000000,0,0
Tajikistan,2016,TJK,3000000000,1000000,1000000
Tajikistan,2017,TJK,3000000000,0,0
Tajikistan,2018,TJK,3000000000,0,0
Tajikistan,2019,TJK,0,0,0
Tajikistan,2020,TJK,0,0,0
Tajikistan,2021,TJK,0,0,0
Thailand,2008,THA,0,0,0
Thailand,2009,THA,0,0,0
Thailand,2010,THA,0,0,0
Thailand,2011,THA,70000000000,0,0
Thailand,2012,THA,70000000000,0,0
Thailand,2013,THA,70000000000,500000000,500000000
Thailand,2014,THA,70000000000,0,0
Thailand,2015,THA,70000000000,500000000,500000000
Thailand,2016,THA,70000000000,0,500000000
Thailand,2017,THA,70000000000,0,0
Thailand,2018,THA,70000000000,0,0
Thailand,2019,THA,70000000000,0,0
Thailand,2020,THA,70000000000,0,0
Thailand,2021,THA,70000000000,0,0
Turkey,2008,TUR,0,0,0
Turkey,2009,TUR,0,0,0
Turkey,2010,TUR,0,0,0
Turkey,2011,TUR,0,0,0
Turkey,2012,TUR,10000000000,0,0
Turkey,2013,TUR,10000000000,0,0
Turkey,2014,TUR,10000000000,0,0
Turkey,2015,TUR,12000000000,0,0
Turkey,2016,TUR,12000000000,990675000,990675000
Turkey,2017,TUR,12000000000,0,0
Turkey,2018,TUR,12000000000,0,0
Turkey,2019,TUR,12000000000,0,0
Turkey,2020,TUR,12000000000,0,0
Turkey,2021,TUR,35000000000,35000000000,35000000000
Ukraine,2008,UKR,0,0,0
Ukraine,2009,UKR,0,0,0
Ukraine,2010,UKR,0,0,0
Ukraine,2011,UKR,0,0,0
Ukraine,2012,UKR,15000000000,0,0
Ukraine,2013,UKR,15000000000,0,0
Ukraine,2014,UKR,15000000000,0,0
Ukraine,2015,UKR,15000000000,5180694108,5180694108
Ukraine,2016,UKR,15000000000,0,0
Ukraine,2017,UKR,15000000000,0,0
Ukraine,2018,UKR,15000000000,0,0
Ukraine,2019,UKR,15000000000,0,0
Ukraine,2020,UKR,15000000000,0,0
Ukraine,2021,UKR,15000000000,0,0
United Arab Emirates,2008,ARE,0,0,0
United Arab Emirates,2009,ARE,0,0,0
United Arab Emirates,2010,ARE,0,0,0
United Arab Emirates,2011,ARE,0,0,0
United Arab Emirates,2012,ARE,35000000000,0,0
United Arab Emirates,2013,ARE,35000000000,0,0
United Arab Emirates,2014,ARE,35000000000,0,0
United Arab Emirates,2015,ARE,35000000000,0,0
United Arab Emirates,2016,ARE,35000000000,0,0
United Arab Emirates,2017,ARE,35000000000,0,0
United Arab Emirates,2018,ARE,0,0,0
United Arab Emirates,2019,ARE,0,0,0
United Arab Emirates,2020,ARE,0,0,0
United Arab Emirates,2021,ARE,0,0,0
United Kingdom,2008,GBR,0,0,0
United Kingdom,2009,GBR,0,0,0
United Kingdom,2010,GBR,0,0,0
United Kingdom,2011,GBR,0,0,0
United Kingdom,2012,GBR,0,0,0
United Kingdom,2013,GBR,2E+11,0,0
United Kingdom,2014,GBR,2E+11,0,0
United Kingdom,2015,GBR,3.5E+11,0,0
United Kingdom,2016,GBR,3.5E+11,0,0
United Kingdom,2017,GBR,3.5E+11,0,0
United Kingdom,2018,GBR,3.5E+11,0,0
United Kingdom,2019,GBR,3.5E+11,0,0
United Kingdom,2020,GBR,3.5E+11,0,0
United Kingdom,2021,GBR,3.5E+11,0,0
Uzbekistan,2008,UZB,0,0,0
Uzbekistan,2009,UZB,0,0,0
Uzbekistan,2010,UZB,0,0,0
Uzbekistan,2011,UZB,700000000,0,0
Uzbekistan,2012,UZB,700000000,0,0
Uzbekistan,2013,UZB,700000000,0,0
Uzbekistan,2014,UZB,700000000,0,0
Uzbekistan,2015,UZB,0,0,0
Uzbekistan,2016,UZB,0,0,0
Uzbekistan,2017,UZB,0,0,0
Uzbekistan,2018,UZB,0,0,0
Uzbekistan,2019,UZB,0,0,0
Uzbekistan,2020,UZB,0,0,0
Uzbekistan,2021,UZB,0,0,0
